(20, 317)
(20, 317)
(20, 317)
(20, 317)
(20, 317)
(20, 317)
(20, 317)
(22, 316)
(22, 315)
(23, 315)
(23, 315)
(23, 314)
(25, 314)
(25, 313)
(25, 313)
(25, 313)
(26, 312)
(26, 312)
(26, 310)
(27, 310)
(27, 309)
(27, 309)
(28, 307)
(28, 307)
(28, 307)
(28, 306)
(29, 305)
(29, 305)
(30, 304)
(31, 304)
(31, 304)
(31, 304)
(32, 303)
(33, 302)
(33, 302)
(34, 301)
(35, 301)
(35, 301)
(36, 299)
(36, 299)
(37, 299)
(37, 299)
(38, 298)
(38, 298)
(38, 298)
(40, 296)
(40, 296)
(40, 296)
(40, 296)
(41, 295)
(41, 294)
(41, 294)
(41, 294)
(43, 293)
(43, 293)
(38, 293)
(318, 339)
(291, 321)
(209, 316)
(225, 151)
(20, 316)
(40, 141)
(342, 105)
(22, 135)
(332, 98)
(99, 90)
(199, 94)
(251, 151)
(243, 153)
(237, 153)
(217, 128)
(62, 151)
(170, 106)
(45, 153)
(36, 153)
(33, 155)
(29, 158)
(135, 113)
(134, 117)
(128, 119)
(119, 119)
(112, 123)
(195, 103)
(95, 127)
(89, 129)
(84, 131)
(71, 133)
(64, 134)
(58, 136)
(51, 138)
(45, 139)
(32, 142)
(54, 199)
(48, 200)
(40, 201)
(33, 203)
(43, 85)
(306, 247)
(293, 213)
(314, 212)
(24, 90)
(151, 99)
(314, 211)
(136, 102)
(22, 104)
(55, 158)
(49, 160)
(40, 166)
(32, 167)
(26, 170)
(21, 172)
(104, 208)
(98, 211)
(90, 213)
(83, 216)
(97, 217)
(315, 209)
(77, 226)
(70, 227)
(135, 83)
(135, 83)
(135, 83)
(135, 83)
(137, 83)
(134, 83)
(135, 83)
(135, 83)
(314, 215)
(28, 332)
(23, 336)
(40, 61)
(40, 60)
(40, 60)
(40, 60)
(40, 60)
(40, 60)
(40, 60)
(40, 60)
(40, 60)
(36, 61)
(41, 59)
(41, 59)
(313, 215)
(38, 60)
(35, 61)
(38, 60)
(38, 60)
(38, 60)
(38, 60)
(35, 61)
(36, 62)
(37, 62)
(41, 59)
(314, 216)
(314, 216)
(314, 216)
(314, 216)
(314, 216)
(314, 216)
(41, 59)
(35, 61)
(35, 61)
(36, 62)
(42, 58)
(40, 59)
(41, 59)
(139, 83)
(137, 82)
(229, 59)
(229, 59)
(230, 59)
(231, 57)
(225, 62)
(223, 62)
(223, 60)
(230, 59)
(36, 61)
(52, 81)
(43, 81)
(40, 61)
(41, 61)
(41, 61)
(40, 61)
(38, 62)
(138, 83)
(137, 83)
(42, 80)
(42, 80)
(42, 61)
(42, 61)
(41, 62)
(40, 62)
(40, 62)
(44, 80)
(40, 61)
(40, 61)
(40, 61)
(40, 61)
(40, 61)
(40, 62)
(40, 61)
(40, 61)
(40, 62)
(40, 61)
(40, 61)
(40, 61)
(36, 61)
(36, 61)
(36, 61)
(36, 61)
(36, 61)
(36, 61)
(36, 61)
(36, 61)
(36, 61)
(41, 59)
(40, 60)
(41, 59)
(41, 59)
(41, 59)
(41, 59)
(41, 59)
(41, 59)
(41, 59)
(41, 59)
(41, 59)
(41, 59)
(41, 59)
(41, 59)
(41, 59)
(41, 59)
(38, 60)
(38, 60)
(294, 223)
(344, 95)
(344, 95)
(342, 95)
(343, 94)
(250, 254)
(244, 256)
(238, 261)
(232, 262)
(232, 261)
(232, 261)
(232, 261)
(232, 260)
(232, 261)
(232, 261)
(232, 261)
(232, 260)
(232, 260)
(232, 262)
(231, 262)
(231, 262)
(238, 263)
(246, 264)
(253, 264)
(261, 263)
(289, 248)
(41, 60)
(41, 60)
(41, 60)
(273, 266)
(260, 267)
(254, 265)
(248, 263)
(248, 263)
(248, 263)
(248, 263)
(248, 262)
(248, 262)
(248, 262)
(248, 262)
(248, 262)
(248, 262)
(249, 262)
(249, 263)
(249, 263)
(38, 60)
(263, 263)
(271, 265)
(41, 59)
(40, 60)
(40, 60)
(40, 60)
(40, 61)
(40, 61)
(40, 61)
(40, 61)
(40, 61)
(35, 61)
(35, 61)
(35, 61)
(35, 61)
(35, 61)
(40, 60)
(40, 60)
(40, 60)
(40, 60)
(41, 59)
